,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Area
6632,Maize,1996,16293,3240.0,18131.0,22.07,Kenya
6649,Maize,1997,17054,3240.0,16005.0,27.54,Kenya
6650,Maize,1997,17054,3240.0,16005.0,22.9,Kenya
6667,Maize,1998,16598,3240.0,60687.0,27.67,Kenya
6668,Maize,1998,16598,3240.0,60687.0,23.07,Kenya
6685,Maize,1999,17961,3240.0,66088.0,26.77,Kenya
6686,Maize,1999,17961,3240.0,66088.0,21.83,Kenya
6703,Maize,2000,21064,3240.0,75843.0,26.98,Kenya
6704,Maize,2000,21064,3240.0,75843.0,22.01,Kenya
6721,Maize,2001,20755,3240.0,85515.3,27.28,Kenya
6722,Maize,2001,20755,3240.0,85515.3,22.5,Kenya
6739,Maize,2002,22773,3240.0,84023.26,27.77,Kenya
6740,Maize,2002,22773,3240.0,84023.26,22.73,Kenya
6757,Maize,2004,26357,3240.0,105514.19,27.3,Kenya
6758,Maize,2004,26357,3240.0,105514.19,22.63,Kenya
6775,Maize,2005,27537,3240.0,117881.45,27.56,Kenya
6776,Maize,2005,27537,3240.0,117881.45,22.69,Kenya
6793,Maize,2006,25368,3240.0,98328.63,27.51,Kenya
6794,Maize,2006,25368,3240.0,98328.63,22.6,Kenya
6811,Maize,2007,27661,3240.0,82439.06,27.45,Kenya
6812,Maize,2007,27661,3240.0,82439.06,22.48,Kenya
6829,Maize,2008,27712,3240.0,48538.97,27.16,Kenya
6830,Maize,2008,27712,3240.0,48538.97,22.07,Kenya
6847,Maize,2009,26845,3240.0,51435.13,27.68,Kenya
6848,Maize,2009,26845,3240.0,51435.13,22.87,Kenya
6865,Maize,2010,27227,3240.0,48618.46,27.54,Kenya
6866,Maize,2010,27227,3240.0,48618.46,22.68,Kenya
6883,Maize,2011,28591,3240.0,53797.0,27.18,Kenya
6884,Maize,2011,28591,3240.0,53797.0,22.33,Kenya
6901,Maize,2012,29052,3240.0,48727.73,27.56,Kenya
6902,Maize,2012,29052,3240.0,48727.73,22.58,Kenya
6919,Maize,2013,28246,3240.0,54563.38,27.6,Kenya
6920,Maize,2013,28246,3240.0,54563.38,22.85,Kenya
6935,Maize,1992,41535,1113.0,2304.0,10.78,Kenya
6940,Maize,1993,44822,1113.0,2675.33,10.19,Kenya
6945,Maize,1994,45529,1113.0,3046.67,11.33,Kenya
6950,Maize,1995,49027,1113.0,3418.0,10.14,Kenya
6955,Maize,1996,52192,1113.0,3148.0,9.24,Kenya
6960,Maize,1997,58802,1113.0,3026.25,10.18,Kenya
6965,Maize,1998,52474,1113.0,2904.5,10.42,Kenya
6970,Maize,1999,55584,1113.0,2782.75,10.51,Kenya
6975,Maize,2000,40701,1113.0,2661.0,11.45,Kenya
6980,Maize,2001,56659,1113.0,2539.25,10.74,Kenya
6985,Maize,2002,63767,1113.0,2417.5,11.18,Kenya
6990,Maize,2004,63054,1113.0,2174.0,10.06,Kenya
6995,Maize,2005,69182,1113.0,2053.0,9.62,Kenya
7000,Maize,2006,65312,1113.0,2150.0,10.56,Kenya
7005,Maize,2007,49371,1113.0,2015.0,11.31,Kenya
7010,Maize,2008,79759,1113.0,2388.0,11.09,Kenya
7015,Maize,2009,73508,1113.0,2070.0,11.06,Kenya
7020,Maize,2010,69678,1113.0,1540.0,10.0,Kenya
7025,Maize,2011,56817,1113.0,1638.74,11.02,Kenya
7030,Maize,2012,43374,1113.0,1737.47,11.12,Kenya
7035,Maize,2013,65000,1113.0,1836.21,11.58,Kenya
7040,Maize,2010,48105,703.0,3894.0,7.54,Kenya
7043,Maize,2011,52170,703.0,4249.48,9.31,Kenya
7046,Maize,2012,58217,703.0,5716.0,8.7,Kenya
7049,Maize,2013,59141,703.0,4118.0,8.81,Kenya
7092,Maize,1990,16479,1410.0,4971.0,26.67,Kenya
7093,Maize,1990,16479,1410.0,4971.0,26.61,Kenya
7108,Maize,1991,16223,1410.0,4971.0,26.57,Kenya
7109,Maize,1991,16223,1410.0,4971.0,26.43,Kenya
7124,Maize,1992,13760,1410.0,4971.0,26.45,Kenya
7125,Maize,1992,13760,1410.0,4971.0,26.4,Kenya
7140,Maize,1993,14105,1410.0,4971.0,26.41,Kenya
7141,Maize,1993,14105,1410.0,4971.0,26.38,Kenya
7156,Maize,1994,10268,1410.0,4971.0,26.78,Kenya
7157,Maize,1994,10268,1410.0,4971.0,26.64,Kenya
7172,Maize,1995,14034,1410.0,3449.0,26.82,Kenya
7173,Maize,1995,14034,1410.0,3449.0,26.78,Kenya
7188,Maize,1996,13584,1410.0,3493.0,26.29,Kenya
7189,Maize,1996,13584,1410.0,3493.0,26.31,Kenya
7204,Maize,1997,11770,1410.0,3846.0,27.18,Kenya
7205,Maize,1997,11770,1410.0,3846.0,27.01,Kenya
7220,Maize,1998,13001,1410.0,4375.0,27.16,Kenya
7221,Maize,1998,13001,1410.0,4375.0,27.14,Kenya
7236,Maize,1999,12633,1410.0,5398.0,26.66,Kenya
7237,Maize,1999,12633,1410.0,5398.0,26.62,Kenya
7252,Maize,2000,12343,1410.0,5082.0,26.37,Kenya
7253,Maize,2000,12343,1410.0,5082.0,26.35,Kenya
7268,Maize,2001,13390,1410.0,7182.0,26.78,Kenya
7269,Maize,2001,13390,1410.0,7182.0,26.8,Kenya
7284,Maize,2002,12960,1410.0,4018.07,27.08,Kenya
7285,Maize,2002,12960,1410.0,4018.07,27.05,Kenya
7300,Maize,2004,14924,1410.0,3713.96,26.83,Kenya
7301,Maize,2004,14924,1410.0,3713.96,26.71,Kenya
7316,Maize,2005,14206,1410.0,3515.56,27.03,Kenya
7317,Maize,2005,14206,1410.0,3515.56,26.9,Kenya
7332,Maize,2006,13900,1410.0,4116.45,27.01,Kenya
7333,Maize,2006,13900,1410.0,4116.45,27.08,Kenya
7348,Maize,2007,13350,1410.0,5689.8,27.08,Kenya
7349,Maize,2007,13350,1410.0,5689.8,27.12,Kenya
7364,Maize,2008,14532,1410.0,5409.43,26.76,Kenya
7365,Maize,2008,14532,1410.0,5409.43,26.56,Kenya
7380,Maize,2009,14645,1410.0,5975.25,26.91,Kenya
7381,Maize,2009,14645,1410.0,5975.25,26.88,Kenya
7396,Maize,2010,16818,1410.0,6316.61,26.93,Kenya
7397,Maize,2010,16818,1410.0,6316.61,27.01,Kenya
7412,Maize,2011,16229,1410.0,6316.61,26.79,Kenya
7413,Maize,2011,16229,1410.0,6316.61,26.66,Kenya
7428,Maize,2012,15675,1410.0,6316.61,26.87,Kenya
7429,Maize,2012,15675,1410.0,6316.61,26.84,Kenya
7444,Maize,2013,15764,1410.0,6316.61,26.51,Kenya
7445,Maize,2013,15764,1410.0,6316.61,26.88,Kenya
7461,Maize,1990,10602,2274.0,2537.0,21.82,Kenya
7462,Maize,1990,10602,2274.0,2537.0,17.6,Kenya
7463,Maize,1990,10602,2274.0,2537.0,22.12,Kenya
7488,Maize,1991,13821,2274.0,2377.0,21.91,Kenya
7489,Maize,1991,13821,2274.0,2377.0,17.59,Kenya
7490,Maize,1991,13821,2274.0,2377.0,22.18,Kenya
7515,Maize,1992,10416,2274.0,2012.0,21.94,Kenya
7516,Maize,1992,10416,2274.0,2012.0,17.67,Kenya
7517,Maize,1992,10416,2274.0,2012.0,22.19,Kenya
7542,Maize,1993,11442,2274.0,1844.0,21.86,Kenya
7543,Maize,1993,11442,2274.0,1844.0,17.42,Kenya
7544,Maize,1993,11442,2274.0,1844.0,22.15,Kenya
7569,Maize,1994,11208,2274.0,2670.0,21.46,Kenya
7570,Maize,1994,11208,2274.0,2670.0,17.4,Kenya
7571,Maize,1994,11208,2274.0,2670.0,21.8,Kenya
7596,Maize,1995,11551,2274.0,2658.0,21.96,Kenya
7597,Maize,1995,11551,2274.0,2658.0,17.7,Kenya
7598,Maize,1995,11551,2274.0,2658.0,22.19,Kenya
7623,Maize,1996,11425,2274.0,2407.0,21.34,Kenya
7624,Maize,1996,11425,2274.0,2407.0,17.23,Kenya
7625,Maize,1996,11425,2274.0,2407.0,21.69,Kenya
7650,Maize,1997,11482,2274.0,7612.0,22.88,Kenya
7651,Maize,1997,11482,2274.0,7612.0,17.82,Kenya
7652,Maize,1997,11482,2274.0,7612.0,23.0,Kenya
7677,Maize,1998,10743,2274.0,21500.0,22.59,Kenya
7678,Maize,1998,10743,2274.0,21500.0,18.12,Kenya
7679,Maize,1998,10743,2274.0,21500.0,22.72,Kenya
7704,Maize,1999,11813,2274.0,14216.0,21.21,Kenya
7705,Maize,1999,11813,2274.0,14216.0,17.02,Kenya
7706,Maize,1999,11813,2274.0,14216.0,21.43,Kenya
7731,Maize,2000,14614,2274.0,17948.0,21.34,Kenya
7732,Maize,2000,14614,2274.0,17948.0,17.06,Kenya
7733,Maize,2000,14614,2274.0,17948.0,21.46,Kenya
7758,Maize,2001,7642,2274.0,7344.0,21.51,Kenya
7759,Maize,2001,7642,2274.0,7344.0,17.39,Kenya
7760,Maize,2001,7642,2274.0,7344.0,21.88,Kenya
7785,Maize,2002,14319,2274.0,1302.49,22.23,Kenya
7786,Maize,2002,14319,2274.0,1302.49,17.78,Kenya
7787,Maize,2002,14319,2274.0,1302.49,22.47,Kenya
7812,Maize,2004,18841,2274.0,29799.84,22.04,Kenya
7813,Maize,2004,18841,2274.0,29799.84,17.73,Kenya
7814,Maize,2004,18841,2274.0,29799.84,22.33,Kenya
7839,Maize,2005,21232,2274.0,18391.23,21.82,Kenya
7840,Maize,2005,21232,2274.0,18391.23,17.67,Kenya
7841,Maize,2005,21232,2274.0,18391.23,22.21,Kenya
7866,Maize,2006,18776,2274.0,7953.42,22.09,Kenya
7867,Maize,2006,18776,2274.0,7953.42,17.6,Kenya
7868,Maize,2006,18776,2274.0,7953.42,22.31,Kenya
7893,Maize,2007,23105,2274.0,14156.16,21.68,Kenya
7894,Maize,2007,23105,2274.0,14156.16,17.44,Kenya
7895,Maize,2007,23105,2274.0,14156.16,21.99,Kenya
7920,Maize,2008,22442,2274.0,15396.14,21.72,Kenya
7921,Maize,2008,22442,2274.0,15396.14,17.16,Kenya
7922,Maize,2008,22442,2274.0,15396.14,21.89,Kenya
7947,Maize,2009,22003,2274.0,9666.87,22.01,Kenya
7948,Maize,2009,22003,2274.0,9666.87,17.76,Kenya
7949,Maize,2009,22003,2274.0,9666.87,22.42,Kenya
7974,Maize,2010,22348,2274.0,31637.12,21.98,Kenya
7975,Maize,2010,22348,2274.0,31637.12,17.79,Kenya
7976,Maize,2010,22348,2274.0,31637.12,22.3,Kenya
8001,Maize,2011,16672,2274.0,17529.44,21.78,Kenya
8002,Maize,2011,16672,2274.0,17529.44,17.42,Kenya
8003,Maize,2011,16672,2274.0,17529.44,22.11,Kenya
8028,Maize,2012,27324,2274.0,11469.74,21.86,Kenya
8029,Maize,2012,27324,2274.0,11469.74,17.46,Kenya
8030,Maize,2012,27324,2274.0,11469.74,22.16,Kenya
8055,Maize,2013,23702,2274.0,6471.77,21.69,Kenya
8056,Maize,2013,23702,2274.0,6471.77,17.28,Kenya
8057,Maize,2013,23702,2274.0,6471.77,21.94,Kenya
8079,Maize,1990,57803,51.0,13214.0,20.73,Kenya
8080,Maize,1990,57803,51.0,13214.0,21.6,Kenya
8093,Maize,1991,58951,51.0,8255.0,20.64,Kenya
8094,Maize,1991,58951,51.0,8255.0,21.65,Kenya
8107,Maize,1992,61346,51.0,6156.0,20.09,Kenya
8108,Maize,1992,61346,51.0,6156.0,21.11,Kenya
8121,Maize,1993,60780,51.0,4175.0,20.74,Kenya
8122,Maize,1993,60780,51.0,4175.0,21.79,Kenya
8135,Maize,1994,59065,51.0,4283.0,21.1,Kenya
8136,Maize,1994,59065,51.0,4283.0,22.02,Kenya
8149,Maize,1995,61630,51.0,4391.0,20.62,Kenya
8150,Maize,1995,61630,51.0,4391.0,21.56,Kenya
8163,Maize,1996,69523,51.0,4499.0,20.85,Kenya
8164,Maize,1996,69523,51.0,4499.0,21.88,Kenya
8177,Maize,1997,71298,51.0,4607.0,20.52,Kenya
8178,Maize,1997,71298,51.0,4607.0,21.45,Kenya
8191,Maize,1998,72257,51.0,4715.0,21.29,Kenya
8192,Maize,1998,72257,51.0,4715.0,22.36,Kenya
8205,Maize,1999,75174,51.0,4823.0,21.46,Kenya
8206,Maize,1999,75174,51.0,4823.0,22.28,Kenya
8219,Maize,2000,76800,51.0,4931.0,20.74,Kenya
8220,Maize,2000,76800,51.0,4931.0,21.49,Kenya
8233,Maize,2001,69798,51.0,5039.0,21.45,Kenya
8234,Maize,2001,69798,51.0,5039.0,22.33,Kenya
8247,Maize,2002,77656,51.0,5147.0,21.46,Kenya
8248,Maize,2002,77656,51.0,5147.0,22.41,Kenya
8261,Maize,2004,79087,51.0,5363.0,21.06,Kenya
8262,Maize,2004,79087,51.0,5363.0,22.08,Kenya
8275,Maize,2005,81607,51.0,5471.0,21.08,Kenya
8276,Maize,2005,81607,51.0,5471.0,22.01,Kenya
8289,Maize,2006,83705,51.0,9781.0,21.15,Kenya
8290,Maize,2006,83705,51.0,9781.0,22.05,Kenya
8303,Maize,2007,80463,51.0,9105.0,21.51,Kenya
8304,Maize,2007,80463,51.0,9105.0,22.36,Kenya
8317,Maize,2008,79053,51.0,9527.0,21.74,Kenya
8318,Maize,2008,79053,51.0,9527.0,22.64,Kenya
8331,Maize,2009,78184,51.0,9013.0,21.67,Kenya
8332,Maize,2009,78184,51.0,9013.0,22.63,Kenya
8345,Maize,2010,72700,51.0,11590.0,22.46,Kenya
8346,Maize,2010,72700,51.0,11590.0,23.72,Kenya
8359,Maize,2011,77409,51.0,12945.0,21.18,Kenya
8360,Maize,2011,77409,51.0,12945.0,21.99,Kenya
8373,Maize,2012,77723,51.0,13991.0,21.55,Kenya
8374,Maize,2012,77723,51.0,13991.0,22.48,Kenya
8387,Maize,2013,77223,51.0,13653.0,21.44,Kenya
8388,Maize,2013,77223,51.0,13653.0,22.91,Kenya
8402,Maize,1990,21383,1784.0,2524.0,26.06,Kenya
8410,Maize,1991,16448,1784.0,4096.0,26.08,Kenya
8418,Maize,1992,21989,1784.0,3940.77,26.22,Kenya
8426,Maize,1993,20482,1784.0,3785.54,26.12,Kenya
8434,Maize,1994,15245,1784.0,3630.31,26.33,Kenya
8442,Maize,1995,21972,1784.0,3475.08,26.05,Kenya
8450,Maize,1996,22572,1784.0,3319.85,25.77,Kenya
8458,Maize,1997,16582,1784.0,3164.62,26.48,Kenya
8466,Maize,1998,19062,1784.0,3009.39,26.48,Kenya
8474,Maize,1999,25047,1784.0,2854.16,25.67,Kenya
8482,Maize,2000,22475,1784.0,2698.93,25.78,Kenya
8490,Maize,2001,19431,1784.0,2543.7,25.92,Kenya
8498,Maize,2002,26041,1784.0,2388.47,26.12,Kenya
8506,Maize,2004,27641,1784.0,2078.01,26.2,Kenya
8514,Maize,2005,29434,1784.0,1922.78,26.07,Kenya
8522,Maize,2006,30794,1784.0,2265.72,26.14,Kenya
8530,Maize,2007,29107,1784.0,1940.78,26.02,Kenya
8538,Maize,2008,33895,1784.0,3899.48,25.71,Kenya
8546,Maize,2009,30041,1784.0,3333.88,26.21,Kenya
8554,Maize,2010,30253,1784.0,3598.59,25.96,Kenya
8562,Maize,2011,28181,1784.0,3231.13,25.95,Kenya
8570,Maize,2012,32580,1784.0,2595.16,26.04,Kenya
8578,Maize,2013,29461,1784.0,6005.08,26.36,Kenya
8585,Maize,1993,2308,383.0,4.44,24.09,Kenya
8589,Maize,1994,7689,383.0,4.44,24.13,Kenya
8593,Maize,1995,3366,383.0,4.44,24.37,Kenya
8597,Maize,1996,3974,383.0,4.44,24.36,Kenya
8601,Maize,1997,2495,383.0,30.92,24.32,Kenya
8605,Maize,1998,7532,383.0,19.61,24.78,Kenya
8609,Maize,1999,7920,383.0,22.28,24.68,Kenya
8613,Maize,2000,2358,383.0,24.96,24.76,Kenya
8617,Maize,2001,7851,383.0,27.63,24.61,Kenya
8621,Maize,2002,2076,383.0,27.63,24.86,Kenya
8625,Maize,2004,2409,383.0,27.63,24.79,Kenya
8629,Maize,2005,4906,383.0,27.63,24.85,Kenya
8633,Maize,2006,9755,383.0,27.63,24.7,Kenya
8637,Maize,2007,8321,383.0,27.63,24.7,Kenya
8641,Maize,2008,2123,383.0,27.63,24.79,Kenya
8645,Maize,2009,8689,383.0,27.63,25.3,Kenya
8649,Maize,2010,9000,383.0,27.63,25.22,Kenya
8653,Maize,2011,9524,383.0,27.63,24.78,Kenya
8657,Maize,2012,10476,383.0,27.63,25.16,Kenya
8661,Maize,2013,10000,383.0,27.63,25.87,Kenya
8753,Maize,1990,60186,867.0,97701.0,11.96,Kenya
8759,Maize,1991,72866,867.0,103434.0,10.6,Kenya
8765,Maize,1992,79812,867.0,85249.0,11.15,Kenya
8771,Maize,1993,80479,867.0,91953.0,10.7,Kenya
8777,Maize,1994,77983,867.0,89515.0,11.96,Kenya
8783,Maize,1995,77182,867.0,84011.0,11.69,Kenya
8789,Maize,1996,83856,867.0,97890.0,10.14,Kenya
8795,Maize,1997,90651,867.0,109792.0,11.59,Kenya
8801,Maize,1998,84528,867.0,107753.0,11.25,Kenya
8807,Maize,1999,89523,867.0,114695.0,11.83,Kenya
8813,Maize,2000,90766,867.0,97878.0,11.74,Kenya
8819,Maize,2001,85711,867.0,99694.0,11.37,Kenya
8825,Maize,2002,89751,867.0,82448.0,11.87,Kenya
8831,Maize,2004,89907,867.0,76099.0,11.34,Kenya
8837,Maize,2005,82539,867.0,78265.0,11.55,Kenya
8843,Maize,2006,85818,867.0,71612.0,11.79,Kenya
8849,Maize,2007,94821,867.0,77255.0,11.75,Kenya
8855,Maize,2008,91258,867.0,78577.0,11.28,Kenya
8861,Maize,2009,88934,867.0,63676.0,11.46,Kenya
8867,Maize,2010,88299,867.0,61903.0,10.41,Kenya
8873,Maize,2011,99668,867.0,61039.0,12.33,Kenya
8879,Maize,2012,90024,867.0,63547.59,11.22,Kenya
8885,Maize,2013,81592,867.0,66497.29,11.01,Kenya
8891,Maize,1990,67762,700.0,31289.0,10.71,Kenya
8892,Maize,1990,67762,700.0,31289.0,10.08,Kenya
8893,Maize,1990,67762,700.0,31289.0,5.92,Kenya
8903,Maize,1991,68432,700.0,32006.0,9.36,Kenya
8904,Maize,1991,68432,700.0,32006.0,8.79,Kenya
8905,Maize,1991,68432,700.0,32006.0,4.93,Kenya
8915,Maize,1992,72348,700.0,29542.0,10.38,Kenya
8916,Maize,1992,72348,700.0,29542.0,9.84,Kenya
8917,Maize,1992,72348,700.0,29542.0,5.91,Kenya
8927,Maize,1993,80227,700.0,25170.0,9.34,Kenya
8928,Maize,1993,80227,700.0,25170.0,8.57,Kenya
8929,Maize,1993,80227,700.0,25170.0,5.33,Kenya
8939,Maize,1994,70808,700.0,26330.0,10.43,Kenya
8940,Maize,1994,70808,700.0,26330.0,9.73,Kenya
8941,Maize,1994,70808,700.0,26330.0,6.64,Kenya
8951,Maize,1995,73664,700.0,30090.0,9.75,Kenya
8952,Maize,1995,73664,700.0,30090.0,9.16,Kenya
8953,Maize,1995,73664,700.0,30090.0,5.33,Kenya
8963,Maize,1996,78272,700.0,31683.0,7.88,Kenya
8964,Maize,1996,78272,700.0,31683.0,7.42,Kenya
8965,Maize,1996,78272,700.0,31683.0,4.49,Kenya
8975,Maize,1997,86577,700.0,30414.0,9.73,Kenya
8976,Maize,1997,86577,700.0,30414.0,9.27,Kenya
8977,Maize,1997,86577,700.0,30414.0,5.79,Kenya
8987,Maize,1998,81561,700.0,33377.0,10.05,Kenya
8988,Maize,1998,81561,700.0,33377.0,9.31,Kenya
8989,Maize,1998,81561,700.0,33377.0,5.66,Kenya
8999,Maize,1999,87850,700.0,30019.0,10.58,Kenya
9000,Maize,1999,87850,700.0,30019.0,10.02,Kenya
9001,Maize,1999,87850,700.0,30019.0,5.55,Kenya
9011,Maize,2000,92119,700.0,35273.17,10.96,Kenya
9012,Maize,2000,92119,700.0,35273.17,10.12,Kenya
9013,Maize,2000,92119,700.0,35273.17,6.33,Kenya
9023,Maize,2001,88376,700.0,33423.49,9.69,Kenya
9024,Maize,2001,88376,700.0,33423.49,9.19,Kenya
9025,Maize,2001,88376,700.0,33423.49,5.59,Kenya
9035,Maize,2002,93755,700.0,34431.72,10.26,Kenya
9036,Maize,2002,93755,700.0,34431.72,9.86,Kenya
9037,Maize,2002,93755,700.0,34431.72,6.26,Kenya
9047,Maize,2004,90966,700.0,34930.37,9.82,Kenya
9048,Maize,2004,90966,700.0,34930.37,9.48,Kenya
9049,Maize,2004,90966,700.0,34930.37,5.43,Kenya
9056,Maize,2005,92139,700.0,36386.27,9.92,Kenya
9057,Maize,2005,92139,700.0,36386.27,9.58,Kenya
9058,Maize,2005,92139,700.0,36386.27,5.01,Kenya
9065,Maize,2006,80307,700.0,38540.15,10.55,Kenya
9066,Maize,2006,80307,700.0,38540.15,10.15,Kenya
9067,Maize,2006,80307,700.0,38540.15,5.94,Kenya
9077,Maize,2007,94475,700.0,40740.64,10.88,Kenya
9078,Maize,2007,94475,700.0,40740.64,10.37,Kenya
9079,Maize,2007,94475,700.0,40740.64,6.28,Kenya
9089,Maize,2008,98099,700.0,43413.01,10.66,Kenya
9090,Maize,2008,98099,700.0,43413.01,10.04,Kenya
9091,Maize,2008,98099,700.0,43413.01,5.94,Kenya
9101,Maize,2009,97500,700.0,39289.43,10.06,Kenya
9102,Maize,2009,97500,700.0,39289.43,9.61,Kenya
9103,Maize,2009,97500,700.0,39289.43,5.89,Kenya
9113,Maize,2010,90261,700.0,40832.42,8.61,Kenya
9114,Maize,2010,90261,700.0,40832.42,7.97,Kenya
9115,Maize,2010,90261,700.0,40832.42,4.85,Kenya
9125,Maize,2011,106243,700.0,43754.35,10.56,Kenya
9126,Maize,2011,106243,700.0,43754.35,9.73,Kenya
9127,Maize,2011,106243,700.0,43754.35,6.56,Kenya
9137,Maize,2012,104802,700.0,45522.5,9.96,Kenya
9138,Maize,2012,104802,700.0,45522.5,9.2,Kenya
9139,Maize,2012,104802,700.0,45522.5,5.88,Kenya
9149,Maize,2013,88276,700.0,43756.1,10.12,Kenya
9150,Maize,2013,88276,700.0,43756.1,9.17,Kenya
9151,Maize,2013,88276,700.0,43756.1,6.0,Kenya
9162,Maize,1990,11889,1187.0,65.8,26.73,Kenya
9168,Maize,1991,15260,1187.0,65.8,26.6,Kenya
9174,Maize,1992,12040,1187.0,65.8,26.47,Kenya
9180,Maize,1993,15092,1187.0,65.8,26.67,Kenya
9186,Maize,1994,14933,1187.0,65.8,26.62,Kenya
9192,Maize,1995,15020,1187.0,65.8,26.87,Kenya
9198,Maize,1996,15153,1187.0,1575.5,26.61,Kenya
9205,Maize,1997,15285,1187.0,502.0,26.58,Kenya
9212,Maize,1998,14850,1187.0,297.78,27.28,Kenya
9219,Maize,1999,14557,1187.0,114.13,26.74,Kenya
9226,Maize,2000,14578,1187.0,81.63,26.83,Kenya
9233,Maize,2001,13150,1187.0,82.0,26.76,Kenya
9240,Maize,2002,14900,1187.0,89.88,26.92,Kenya
9247,Maize,2004,15794,1187.0,134.25,27.02,Kenya
9254,Maize,2005,15613,1187.0,166.16,27.06,Kenya
9261,Maize,2006,14994,1187.0,771.58,27.1,Kenya
9268,Maize,2007,15437,1187.0,119.86,27.16,Kenya
9275,Maize,2008,17371,1187.0,350.83,26.98,Kenya
9282,Maize,2009,16969,1187.0,378.97,27.14,Kenya
9289,Maize,2010,18874,1187.0,378.97,27.57,Kenya
9296,Maize,2011,16458,1187.0,378.97,27.11,Kenya
9303,Maize,2012,18712,1187.0,378.97,26.86,Kenya
9310,Maize,2013,17240,1187.0,378.97,27.24,Kenya
9316,Maize,1990,96965,652.0,7420.0,18.05,Kenya
9323,Maize,1991,101042,652.0,7420.0,17.07,Kenya
9330,Maize,1992,99762,652.0,7869.0,17.13,Kenya
9337,Maize,1993,98951,652.0,8826.0,17.53,Kenya
9344,Maize,1994,97800,652.0,6341.0,18.47,Kenya
9351,Maize,1995,100563,652.0,6663.0,17.82,Kenya
9358,Maize,1996,99314,652.0,7296.0,17.46,Kenya
9365,Maize,1997,104030,652.0,9223.0,17.35,Kenya
9372,Maize,1998,88247,652.0,10702.0,18.15,Kenya
9379,Maize,1999,95128,652.0,9635.0,18.82,Kenya
9386,Maize,2000,96708,652.0,10627.0,18.2,Kenya
9393,Maize,2001,103463,652.0,10725.0,18.67,Kenya
9400,Maize,2002,99544,652.0,11852.0,18.33,Kenya
9407,Maize,2004,101088,652.0,11594.0,18.07,Kenya
9414,Maize,2005,103033,652.0,12083.0,17.91,Kenya
9421,Maize,2006,101383,652.0,7505.3,17.78,Kenya
9428,Maize,2007,100223,652.0,7345.7,18.67,Kenya
9435,Maize,2008,104810,652.0,5130.8,18.61,Kenya
9442,Maize,2009,104326,652.0,3404.4,18.52,Kenya
9449,Maize,2010,103818,652.0,5607.7,19.3,Kenya
9456,Maize,2011,107069,652.0,8189.8,17.67,Kenya
9463,Maize,2012,104559,652.0,8002.2,18.82,Kenya
9470,Maize,2013,106689,652.0,8081.72,19.36,Kenya
9478,Maize,1990,20052,1996.0,12004.33,19.64,Kenya
9486,Maize,1991,18442,1996.0,12004.33,19.91,Kenya
9494,Maize,1992,18831,1996.0,12004.33,19.89,Kenya
9502,Maize,1993,18506,1996.0,12004.33,19.85,Kenya
9511,Maize,1994,19569,1996.0,12004.33,20.08,Kenya
9520,Maize,1995,19436,1996.0,12004.33,19.98,Kenya
9529,Maize,1996,18201,1996.0,12004.33,19.48,Kenya
9538,Maize,1997,14942,1996.0,11419.53,20.16,Kenya
9547,Maize,1998,16994,1996.0,10834.74,20.36,Kenya
9556,Maize,1999,17378,1996.0,10249.94,19.44,Kenya
9565,Maize,2000,17811,1996.0,9665.14,19.47,Kenya
9574,Maize,2001,20681,1996.0,10023.42,19.62,Kenya
9583,Maize,2002,20659,1996.0,10381.71,19.93,Kenya
9592,Maize,2004,21307,1996.0,11959.92,19.85,Kenya
9601,Maize,2005,23360,1996.0,13506.02,19.99,Kenya
9610,Maize,2006,25807,1996.0,15951.27,19.88,Kenya
9619,Maize,2007,23219,1996.0,22883.17,19.9,Kenya
9628,Maize,2008,20115,1996.0,18091.67,19.51,Kenya
9637,Maize,2009,19798,1996.0,13276.7,19.99,Kenya
9646,Maize,2010,19944,1996.0,14898.25,19.85,Kenya
9655,Maize,2011,19976,1996.0,16540.71,19.85,Kenya
9664,Maize,2012,20348,1996.0,19726.3,19.88,Kenya
9673,Maize,2013,20827,1996.0,20489.4,20.37,Kenya
9682,Maize,1990,10179,1651.0,80.0,27.08,Kenya
9689,Maize,1991,10527,1651.0,80.0,27.22,Kenya
9696,Maize,1992,10885,1651.0,80.0,27.02,Kenya
9703,Maize,1993,11255,1651.0,21.0,27.25,Kenya
9710,Maize,1994,11639,1651.0,39.0,27.03,Kenya
9717,Maize,1995,12036,1651.0,153.0,27.23,Kenya
9724,Maize,1996,12446,1651.0,157.0,27.33,Kenya
9731,Maize,1997,12870,1651.0,157.0,27.3,Kenya
9738,Maize,1998,13308,1651.0,181.35,27.63,Kenya
9745,Maize,1999,13761,1651.0,205.71,27.12,Kenya
9752,Maize,2000,14230,1651.0,230.06,27.12,Kenya
9759,Maize,2001,14430,1651.0,254.42,27.36,Kenya
9766,Maize,2002,14664,1651.0,278.77,27.53,Kenya
9773,Maize,2004,15143,1651.0,327.49,27.56,Kenya
9781,Maize,2005,15388,1651.0,351.84,27.66,Kenya
9789,Maize,2006,15637,1651.0,376.19,27.2,Kenya
9797,Maize,2007,15891,1651.0,400.55,27.28,Kenya
9805,Maize,2008,10793,1651.0,424.9,27.61,Kenya
9813,Maize,2009,16318,1651.0,449.26,27.37,Kenya
9821,Maize,2010,16313,1651.0,556.24,27.8,Kenya
